date,year,month,semester,quarter,decade,iso_a3,currency_code,name,local_price,dollar_ex,dollar_price,usd_raw,eur_raw,gbp_raw,jpy_raw,cny_raw,gdp_dollar,adj_price,usd_adjusted,eur_adjusted,gbp_adjusted,jpy_adjusted,cny_adjusted,gdp_per_capita,log_gdp_per_capita,inflation_rate,unemployment_rate,population,log_population,urban_pct,continent,income_group,eu_member
4/1/02,2002,4,H1,2,2000,CHN,CNY,China,10.5,8.28,1.268115942,-0.49072,-0.46635,-0.56052,-0.37078,0,,,,,,,,1163.559577,7.059239186,-0.731970902,4,1280400000,20.97043837,38.425,Asia,Upper middle income,0
4/1/02,2002,4,H1,2,2000,CZE,CZK,Czech Republic,56.28,34,1.655294118,-0.33522,-0.30342,-0.42634,-0.17867,0.30532,,,,,,,,8101.260186,8.999774907,1.90298097,7.281,10196916,16.13759588,73.809,Europe,High income,1
4/1/02,2002,4,H1,2,2000,DNK,DKK,Denmark,24.75,8.38,2.953460621,0.18613,0.24288,0.02355,0.46546,1.32901,,,,,,,,33257.16226,10.41202543,2.424436612,4.274,5375931,15.49744233,85.25,Europe,High income,1
4/1/02,2002,4,H1,2,2000,EUZ,EUR,Euro area,2.67,1.123595506,2.376299999,-0.04566,0,-0.17647,0.17908,0.87388,,,,,,,,,,,,,,,,,0
4/1/02,2002,4,H1,2,2000,GBR,GBP,Britain,1.99,0.689655172,2.885500002,0.15884,0.21428,0,0.43174,1.27542,,,,,,,,30077.74143,10.31154069,1.520402459,5.037,59370479,17.89930767,79.047,Europe,High income,0
4/1/02,2002,4,H1,2,2000,HKG,HKD,Hong Kong,11.2,8,1.4,-0.43775,-0.41085,-0.51482,-0.30534,0.104,,,,,,,,24665.83623,10.11317442,-2.983138781,7.28,6744100,15.72417861,100,Asia,High income,0
4/1/02,2002,4,H1,2,2000,HUN,HUF,Hungary,459,272,1.6875,-0.32229,-0.28986,-0.41518,-0.16269,0.33071,,,,,,,,6658.044943,8.803581168,5.265448216,5.608,10158608,16.13383198,65.081,Europe,High income,1
4/1/02,2002,4,H1,2,2000,IDN,IDR,Indonesia,16000,9430,1.696712619,-0.31859,-0.28599,-0.41199,-0.15812,0.33798,,,,,,,,881.0029136,6.781060933,11.90011757,6.604,222088495,19.21858649,43.568,Asia,Lower middle income,0
4/1/02,2002,4,H1,2,2000,ISR,ILS,Israel,12,4.79,2.505219207,0.00611,0.05425,-0.13179,0.24305,0.97554,,,,,,,,19076.45843,9.856210311,5.772357724,12.888,6570000,15.69802439,91.33,Asia,High income,0
4/1/02,2002,4,H1,2,2000,JPN,JPY,Japan,262,130,2.015384615,-0.19061,-0.15188,-0.30155,0,0.58927,,,,,,,,32820.79364,10.39881755,-0.923494027,5.386,127445000,18.66319546,81.647,Asia,High income,0
4/1/02,2002,4,H1,2,2000,KOR,KRW,South Korea,3100,1304,2.377300613,-0.04526,0.00042,-0.17612,0.17958,0.87467,,,,,,,,13165.08362,9.485323424,2.762262103,3.046,47644736,17.67928271,80.299,Asia,High income,0
4/1/02,2002,4,H1,2,2000,MEX,MXN,Mexico,21.9,9.28,2.359913793,-0.05224,-0.0069,-0.18215,0.17095,0.86096,,,,,,,,7983.033984,8.985073817,5.030727332,3.003,101548624,18.4360483,75.365,North America,Upper middle income,0
4/1/02,2002,4,H1,2,2000,MYS,MYR,Malaysia,5.04,3.8,1.326315789,-0.46734,-0.44186,-0.54035,-0.3419,0.04589,,,,,,,,4184.031638,8.339030567,1.807872463,3.48,24102477,16.99782517,63.856,Asia,Upper middle income,0
4/1/02,2002,4,H1,2,2000,NOR,NOK,Norway,35,8.56,4.088785047,0.64208,0.72065,0.41701,1.02879,2.2243,,,,,,,,43170.55717,10.67291399,1.286725284,4.022,4538159,15.32803198,76.733,Europe,High income,0
4/1/02,2002,4,H1,2,2000,NZL,NZD,New Zealand,3.6,2.24,1.607142857,-0.35456,-0.32368,-0.44303,-0.20256,0.26735,,,,,,,,16874.18749,9.733540366,2.677092577,5.282,3948500,15.18884632,86.161,Oceania,High income,0
4/1/02,2002,4,H1,2,2000,PER,PEN,Peru,8.5,3.43,2.478134111,-0.00477,0.04285,-0.14118,0.22961,0.95419,,,,,,,,2007.370196,7.604580784,0.193135004,4.84,27288217,17.12196556,73.85,South America,Upper middle income,0
4/1/02,2002,4,H1,2,2000,PHL,PHP,Philippines,65,51,1.274509804,-0.48815,-0.46366,-0.55831,-0.36761,0.00504,,,,,,,,1014.908793,6.922554029,2.722772277,,83068889,18.23518081,45.965,Asia,Lower middle income,0
4/1/02,2002,4,H1,2,2000,POL,PLN,Poland,5.9,4.04,1.46039604,-0.4135,-0.38543,-0.49388,-0.27538,0.15163,,,,,,,,5223.45179,8.560913725,1.90528215,20.211,38230364,17.45914063,61.787,Europe,High income,1
4/1/02,2002,4,H1,2,2000,RUS,RUB,Russia,39,31.2,1.25,-0.49799,-0.47397,-0.5668,-0.37977,-0.01429,,,,,,,,2377.529541,7.77381722,15.78873079,7.875,145306497,18.79435584,73.341,Europe,Upper middle income,0
4/1/02,2002,4,H1,2,2000,SGP,SGD,Singapore,3.3,1.82,1.813186813,-0.27181,-0.23697,-0.37162,-0.10033,0.42983,,,,,,,,22159.83737,10.0060368,-0.391676867,5.65,4175950,15.24485244,100,Asia,High income,0
4/1/02,2002,4,H1,2,2000,SWE,SEK,Sweden,26,10.4,2.5,0.00402,0.05206,-0.1336,0.24046,0.97143,,,,,,,,29957.93877,10.30754964,2.158482136,4.965,8924958,16.00436218,84.133,Europe,High income,1
4/1/02,2002,4,H1,2,2000,THA,THB,Thailand,55,43.3,1.270207852,-0.48988,-0.46547,-0.5598,-0.36974,0.00165,,,,,,,,2089.751831,7.644800597,0.697308977,,64266437,17.97854808,33.734,Asia,Upper middle income,0
4/1/02,2002,4,H1,2,2000,TUR,TRY,Turkey,4000000,1324500,3.02000755,0.21285,0.27089,0.04661,0.49848,1.38149,,,,,,,,3583.197459,8.184010826,44.96412095,10.358,67048795,18.0209312,65.974,Asia,Upper middle income,0
4/1/02,2002,4,H1,2,2000,TWN,TWD,Taiwan,70,34.8,2.011494253,-0.19217,-0.15352,-0.3029,-0.00193,0.58621,,,,,,,,,,,,,,,Asia,High income,0
4/1/02,2002,4,H1,2,2000,USA,USD,United States,2.49,1,2.49,0,0.04785,-0.13706,0.2355,0.96354,,,,,,,,37997.74243,10.54528203,1.586031627,5.783,287625193,19.47716878,79.409,North America,High income,0
4/1/02,2002,4,H1,2,2000,ZAF,ZAR,South Africa,9.7,10.9,0.889908257,-0.64261,-0.62551,-0.69159,-0.55844,-0.29824,,,,,,,,,,,,,,,Africa,Upper middle income,0
4/1/03,2003,4,H1,2,2000,ARG,ARS,Argentina,4.1,2.88,1.423611111,-0.47468,-0.52244,-0.54723,-0.34796,0.19066,,,,,,,,3320.477751,8.107863953,,15.36,38424282,17.46420016,89.686,South America,Upper middle income,0
4/1/03,2003,4,H1,2,2000,AUS,AUD,Australia,3,1.61,1.863354037,-0.31242,-0.37492,-0.40737,-0.14656,0.55844,,,,,,,,23718.13385,10.07399518,2.732595966,5.933,19720737,16.79718128,84.343,Oceania,High income,0
4/1/03,2003,4,H1,2,2000,BRA,BRL,Brazil,4.55,3.07,1.482084691,-0.45311,-0.50282,-0.52863,-0.32118,0.23956,,,,,,,,3090.60701,8.036122794,14.71491972,11.169,180622688,19.01192082,82.203,South America,Upper middle income,0
4/1/03,2003,4,H1,2,2000,CAN,CAD,Canada,3.2,1.45,2.206896552,-0.18565,-0.25968,-0.29811,0.01079,0.84577,,,,,,,,28301.86459,10.25068297,2.758563214,7.574,31642461,17.27001048,79.967,North America,High income,0
4/1/03,2003,4,H1,2,2000,CHE,CHF,Switzerland,6.3,1.37,4.598540146,0.69688,0.54262,0.46255,1.1062,2.84605,,,,,,,,49335.74563,10.80640416,0.638272931,4.117,7339001,15.80871329,73.427,Europe,High income,0
4/1/03,2003,4,H1,2,2000,CHL,CLP,Chile,1400,716,1.955307263,-0.27848,-0.34408,-0.37812,-0.10444,0.63535,,,,,,,,4773.401775,8.47081449,2.810178757,9.765,16024752,16.58964508,86.665,South America,High income,0
4/1/03,2003,4,H1,2,2000,CHN,CNY,China,9.9,8.28,1.195652174,-0.5588,-0.59891,-0.61973,-0.45237,0,,,,,,,,1306.972454,7.175468638,1.127603487,4.3,1288400000,20.97666698,39.776,Asia,Upper middle income,0
4/1/03,2003,4,H1,2,2000,CZE,CZK,Czech Republic,56.57,28.9,1.957439446,-0.2777,-0.34336,-0.37744,-0.10346,0.63713,,,,,,,,9852.456779,9.195476122,0.118739206,7.777,10193998,16.13730967,73.74,Europe,High income,1
4/1/03,2003,4,H1,2,2000,DNK,DKK,Denmark,27.75,6.78,4.092920354,0.5103,0.373,0.30174,0.87462,2.42317,,,,,,,,40519.09749,10.60952868,2.075078206,5.398,5390574,15.50016243,85.36,Europe,High income,1
4/1/03,2003,4,H1,2,2000,EGY,EGP,Egypt,8,5.92,1.351351351,-0.50135,-0.54668,-0.57021,-0.38106,0.13022,,,,,,,,1031.275563,6.938551726,4.507776363,10.91,77853548,18.17034003,42.935,Africa,Lower middle income,0
4/1/03,2003,4,H1,2,2000,EUZ,EUR,Euro area,2.71,0.909090909,2.981,0.1,0,-0.05191,0.36534,1.4932,,,,,,,,,,,,,,,,,0
4/1/03,2003,4,H1,2,2000,GBR,GBP,Britain,1.99,0.632911392,3.144200002,0.16022,0.05475,0,0.44009,1.62969,,,,,,,,34442.68754,10.44705199,1.376500385,4.807,59647577,17.90396409,79.339,Europe,High income,0
4/1/03,2003,4,H1,2,2000,HKG,HKD,Hong Kong,11.5,7.8,1.474358974,-0.45596,-0.50541,-0.53109,-0.32472,0.2331,,,,,,,,23977.17341,10.08485755,-2.673796791,7.86,6730800,15.72220457,100,Asia,High income,0
4/1/03,2003,4,H1,2,2000,HUN,HUF,Hungary,490,224,2.1875,-0.1928,-0.26619,-0.30427,0.00191,0.82955,,,,,,,,8410.092482,9.03718775,4.661016949,5.79,10129552,16.13096765,65.489,Europe,High income,1
4/1/03,2003,4,H1,2,2000,IDN,IDR,Indonesia,16100,8740,1.842105263,-0.32026,-0.38205,-0.41413,-0.15629,0.54067,,,,,,,,1043.210584,6.950058337,6.757317194,6.658,225048008,19.23182431,44.356,Asia,Lower middle income,0
4/1/03,2003,4,H1,2,2000,JPN,JPY,Japan,262,120,2.183333333,-0.19434,-0.26758,-0.3056,0,0.82606,,,,,,,,35387.03742,10.47410086,-0.256541816,5.251,127718000,18.66533527,83.196,Asia,High income,0
4/1/03,2003,4,H1,2,2000,KOR,KRW,South Korea,3300,1220,2.704918033,-0.00188,-0.09261,-0.13971,0.23889,1.2623,,,,,,,,14672.80575,9.593751111,3.514874515,3.348,47892330,17.68446592,80.652,Asia,High income,0
4/1/03,2003,4,H1,2,2000,MEX,MXN,Mexico,23,10.53,2.184235518,-0.19401,-0.26728,-0.30531,0.00041,0.82682,,,,,,,,7434.07465,8.913829393,4.546900121,3.455,102978515,18.45003093,75.682,North America,Upper middle income,0
